exp_id,problem,set,sips_pcc,abstract_pcc
1_1,1,1,-0.095126,0.980356
1_2,1,2,-0.468186,0.842003
1_3,1,3,0.962563,0.984640
1_4,1,4,0.943484,0.940994
2_1,2,1,0.139998,0.698490
2_2,2,2,0.161074,0.759527
2_3,2,3,-0.106232,0.421741
2_4,2,4,0.662626,0.453963
3_1,3,1,0.920185,0.963446
3_2,3,2,0.833385,0.855039
3_3,3,3,0.882314,0.841802
3_4,3,4,0.933982,0.987887
4_1,4,1,0.890769,0.952194
4_2,4,2,0.989770,0.973480
4_3,4,3,0.974420,0.848737
4_4,4,4,0.970070,0.969720

category,sips_pcc,abstract_pcc
overall,0.599693,0.842126
optimal,0.335684,0.936998
suboptimal,0.687697,0.810502
action_mistakes,0.214367,0.583430
plan_mistakes,0.892466,0.912043
short_sighted_plan,0.956257,0.936033
