exp_id,problem,set,sips_pcc,abstract_pcc
1_1,1,1,-0.188963,0.934529
1_2,1,2,-0.659561,0.967553
1_3,1,3,0.963161,0.983172
1_4,1,4,0.941698,0.940329
2_1,2,1,-0.026931,0.713006
2_2,2,2,-0.006506,0.057747
2_3,2,3,0.521060,0.025973
2_4,2,4,0.423869,0.382673
3_1,3,1,0.919161,0.959661
3_2,3,2,0.746246,0.959728
3_3,3,3,0.870949,0.850659
3_4,3,4,0.870503,0.986834
4_1,4,1,0.909183,0.937497
4_2,4,2,0.951289,0.950938
4_3,4,3,0.947698,0.653486
4_4,4,4,0.977553,0.966395

category,sips_pcc,abstract_pcc
overall,0.572526,0.766886
optimal,0.264084,0.956396
suboptimal,0.899073,0.908150
overall_excl_prob2,0.687410,0.924232
