exp_id,problem,set,sips_pcc,abstract_pcc
1_1,1,1,-0.303761,0.980356
1_2,1,2,-0.672022,0.842003
1_3,1,3,0.870040,0.984640
1_4,1,4,0.944170,0.940994
2_1,2,1,0.436183,0.698341
2_2,2,2,-0.015972,0.759527
2_3,2,3,-0.330971,0.421741
2_4,2,4,-0.044673,0.453963
3_1,3,1,0.684794,0.963446
3_2,3,2,0.694796,0.855039
3_3,3,3,0.867344,0.841802
3_4,3,4,0.794115,0.987887
4_1,4,1,-0.264212,0.952194
4_2,4,2,0.147587,0.973480
4_3,4,3,-0.208839,0.848737
4_4,4,4,0.972042,0.969720

category,sips_pcc,abstract_pcc
overall,0.285664,0.842117
optimal,0.209607,0.936998
suboptimal,0.311016,0.810490
action_mistakes,0.011142,0.583393
plan_mistakes,0.760262,0.912043
short_sighted_plan,0.161645,0.936033
